N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8605093120486507,0.8233424425867272,0.8255213128784176,0.23152337858220212,0.7088026131771087,0.34199346755557625
Model2,500,2,1,0.8615228683643735,0.8206487609336957,0.8329349309347952,0.2888386123680241,0.6670547644072015,0.39835203077943787
Model3,500,3,1,0.814139110604333,0.8307093253136487,0.8182794000215666,0.4419306184012066,0.6412742280236906,0.4955331527529018
Model4,500,1,2,0.88204738375776,0.8702754147403161,0.856255006168934,0.35294117647058826,0.87361825419691,0.4824015132077113
Model5,500,2,2,0.9137210186240973,0.9079677156986421,0.9050578233848016,0.5950226244343891,0.8913009544597474,0.6930100213276486
Model6,500,3,2,0.9162549094134043,0.9127251379695912,0.9134232567684827,0.6628959276018099,0.8728363925981986,0.7481102715822351
Model7,800,1,2,0.8969973394146712,0.8883930193400608,0.8785444022200352,0.4434389140271493,0.8897558300278563,0.5702307864555193
Model8,800,2,2,0.8996579247434435,0.9083212710576312,0.8995775434457987,0.6855203619909502,0.8736165177429379,0.7481525465680186
Model9,800,3,2,0.9196756619789687,0.9170884252811308,0.9175606140551597,0.6975867269984917,0.9069138084953707,0.7816641265009725
