N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8719118206005321,0.8540584887904259,0.8576534617696157,0.389894419306184,0.7092697114833337,0.4901090058792383
Model2,500,2,1,0.8691245407322944,0.8553283084470387,0.857056536236257,0.44268476621417796,0.7062147018320148,0.5087657947864822
Model3,500,3,1,0.8726719878373242,0.8754806990536013,0.8666950807986,0.46153846153846156,0.6800114497537969,0.5201141739737607
Model4,500,1,2,0.9075129861902952,0.8921328640900635,0.8959734258935755,0.5444947209653092,0.781650735920023,0.6262956800569118
Model5,500,2,2,0.9070062080324338,0.9186336580416151,0.9088339600075445,0.7126696832579186,0.8069004008287533,0.7387594564602791
Model6,500,3,2,0.9077663752692259,0.9120542317089656,0.9085251992653279,0.7096530920060332,0.7558143720996285,0.7235201739558601
Model7,800,1,2,0.9122006841505131,0.9021536174628331,0.9067384361507251,0.6161387631975868,0.7728447624447197,0.6820762318694479
Model8,800,2,2,0.9187888002027113,0.9197300996916585,0.915829606779536,0.6825037707390649,0.8219941228716596,0.7199919228084894
Model9,800,3,2,0.9007981755986317,0.9145789153326735,0.904362824866952,0.729260935143288,0.8031157699308938,0.7449009021538125
